ID,RequirementText,Functional (F),Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US)
168,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,,,,,,,,,,,,
169,The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.,,,,,,,,,,,,
170,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,,,,,,,,,,,,
171,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,,,,,,,,,,,,
172,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,,,,,,,,,,,,
173,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.,,,,,,,,,,,,
174,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,,,,,,,,,,,,
175,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,,,,,,,,,,,,
176,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,,,,,,,,,,,,
177,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,,,,,,,,,,,,
178,The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,,,,,,,,,,,,
179,All screens created as part of the Disputes application must comply with corporate standards for interface creation.,,,,,,,,,,,,
180,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,,,,,,,,,,,,
181,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,,,,,,,,,,,,
182,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,,,,,,,,,,,,
183,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,,,,,,,,,,,,
184,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,,,,,,,,,,,,
185,The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday 96 Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,,,,,,,,,,,,
186,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,,,,,,,,,,,,
187,The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.,,,,,,,,,,,,
188,The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,,,,,,,,,,,,
189,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,,,,,,,,,,,,
190,The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant92s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,,,,,,,,,,,,
191,The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,,,,,,,,,,,,
192,The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,,,,,,,,,,,,
193,All updates to data files or database must be initiated from the Disputes System.,,,,,,,,,,,,
194,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,,,,,,,,,,,,
195,If a user account is revoked it can only be re-instantiated by the System Administrator.,,,,,,,,,,,,
196,Only the System Administrator shall be able to reset a revoked user logon account,,,,,,,,,,,,
197,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user92s access level. The report will be reviewed for auditing purposes.,,,,,,,,,,,,
198,All authorized users once authenticated must be able to logon to the Disputes System,,,,,,,,,,,,
199,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,,,,,,,,,,,,
200,Only users with Update access must be able to initiate dispute requests.,,,,,,,,,,,,
201,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,,,,,,,,,,,,
202,All additions of new users and modifications to user92s access shall be recorded on the User Report.,,,,,,,,,,,,
203,The estimator shall apply selected recycled parts to the collision estimate.,,,,,,,,,,,,
204,The estimator shall search for available recycled parts using a list of preferred parts suppliers.,,,,,,,,,,,,
205,The available recycled parts information and their suppliers shall be returned to the user.,,,,,,,,,,,,
206,The system shall retain the available recycled parts and suppliers returned from the search.,,,,,,,,,,,,
207,The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,,,,,,,,,,,,
208,The system shall search for available recycled parts for the supplied vehicle parts and suppliers.,,,,,,,,,,,,
209,The estimator shall search for available recycled parts using damaged vehicle parts information.,,,,,,,,,,,,
210,The search radius shall be between 1 and 30 miles,,,,,,,,,,,,
211,The preferred repair facility shall be returned to the user.,,,,,,,,,,,,
212,The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.,,,,,,,,,,,,
213,The adjuster shall enter the preferred repair facility on the estimate assignment.,,,,,,,,,,,,
214,The system shall locate the preferred repair facility with the highest ratings for the input criteria,,,,,,,,,,,,
215,The system shall resolve the zipcode for the street address city and state if zipcode is unknown.,,,,,,,,,,,,
216,The vehicle location shall include street address city state and zipcode,,,,,,,,,,,,
217,The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,,,,,,,,,,,,
218,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,,,,,,,,,,,,
219,The adjuster shall review the collision estimate.,,,,,,,,,,,,
220,The user shall enter new ratings based on the audit report,,,,,,,,,,,,
221,The recycled parts search results provided to the estimator shall be retrieved by the system.,,,,,,,,,,,,
222,The vehicle data shall include vehicle year make and model,,,,,,,,,,,,
223,The preferred repair facility ratings shall be saved by the system.,,,,,,,,,,,,
224,The user shall select to save the preferred repair facility ratings.,,,,,,,,,,,,
225,The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts,,,,,,,,,,,,
226,The ratings shall be from a scale of 1-10,,,,,,,,,,,,
227,The system will display a blank set of ratings if there are not ratings yet defined.,,,,,,,,,,,,
228,The current repair facility ratings shall be displayed to the user.,,,,,,,,,,,,
229,The user shall select to view the preferred repair facility ratings.,,,,,,,,,,,,
230,The audit report shall be available to other adjusters at later points in time.,,,,,,,,,,,,
231,The audit report shall be displayed to the user.,,,,,,,,,,,,
232,The audit report shall include the total score of the audit which sums the indivual line items.,,,,,,,,,,,,
233,The audit report shall include the percentage of available recycled parts used in the estimate,,,,,,,,,,,,
234,The audit report shall include the number of available recycled parts from the original search results.,,,,,,,,,,,,
235,The audit report shall include the total number of recycled parts used in the estimate.,,,,,,,,,,,,
236,The system shall generate an audit report based on the available recycled parts and the collision estimate.,,,,,,,,,,,,
237,The adjuster shall request a recycled parts audit of the collision estimate.,,,,,,,,,,,,
238,The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles,,,,,,,,,,,,
239,The product shall comply with corporate color scheme,,,,,,,,,,,,
240,The product shall comply with the estimatics laws relating to recycled parts usage.,,,,,,,,,,,,
241,The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.,,,,,,,,,,,,
242,The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,,,,,,,,,,,,
243,The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,,,,,,,,,,,,
244,The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,,,,,,,,,,,,
245,The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,,,,,,,,,,,,
246,Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,,,,,,,,,,,,
247,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,,,,,,,,,,,,
248,The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,,,,,,,,,,,,
249,The appearance of the product shall appear professional,,,,,,,,,,,,
250,The product shall comply with corporate User Interface Guidelines,,,,,,,,,,,,
251,The product shall adhere to the corporate Architecture guidelines,,,,,,,,,,,,
252,The product shall run on the existing hardware for all environments.,,,,,,,,,,,,
253,The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,,,,,,,,,,,,
254,The product must support Mozilla Firefox 1.0 and above.,,,,,,,,,,,,
255,The product shall comply with insurance regulations regarding claims processing.,,,,,,,,,,,,
256,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,,,,,,,,,,,,
257,The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,,,,,,,,,,,,
258,The product must support Internet Explorer 5.5 and above.,,,,,,,,,,,,
259,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,,,,,,,,,,,,
260,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,,,,,,,,,,,,
261,The product must comply with Sarbanes-Oxley.,,,,,,,,,,,,
262,The system shall prevent malicious attacks including denial of service.,,,,,,,,,,,,
263,The product shall free of computer viruses.,,,,,,,,,,,,
264,One insurance company shall not be able to view another insurance companys claim data.,,,,,,,,,,,,
265,Only valid data shall be entered into the system. No invalid data shall be entered into the system.,,,,,,,,,,,,
266,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,,,,,,,,,,,,
267,Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,,,,,,,,,,,,
268,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,,,,,,,,,,,,
269,The product shall be supported using the corporate support center.,,,,,,,,,,,,
270,The maintenance of the product will fall within the established corporate maintenance windows.,,,,,,,,,,,,
271,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,,,,,,,,,,,,
272,For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.,,,,,,,,,,,,
273,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,,,,,,,,,,,,
274,The average number of recycled parts records per day shall be 50 000.,,,,,,,,,,,,
275,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,,,,,,,,,,,,
276,The product shall update existing conference rooms.,,,,,,,,,,,,
277,The product will notify employees of meeting invitations.,,,,,,,,,,,,
278,The product will record meeting acknowledgements.,,,,,,,,,,,,
279,The product shall assign the organizers contact information to each meeting they create.,,,,,,,,,,,,
280,The product shall have the ability to send meeting reminders to employees.,,,,,,,,,,,,
281,The product shall record meeting entries.,,,,,,,,,,,,
282,The product shall ensure that the database92s data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.,,,,,,,,,,,,
283,The product shall be able to display calendar dates and times according to the user92s locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,,,,,,,,,,,,
284,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,,,,,,,,,,,,
285,The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,,,,,,,,,,,,
