ID,RequirementText,Functional (F),Availability (A),Fault Tolerance (FT),Legal (L),Look & Feel (LF),Maintainability (MN),Operability (O),Performance (PE),Portability (PO),Scalability (SC),Security (SE),Usability (US),AI_Model,AI_Confidence,AI_Rationale
32,90% of untrained realtors shall be able to install the product on their device without printed instructions,0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.92,Specifies a usability target: percentage of untrained users able to install without printed instructions. No functional behavior or other quality attributes are mentioned.
33,Only registered realtors shall be able to access the system.,0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.95,"This requirement constrains who may access the system (access control/authorization), which is a security requirement (authentication/authorization). It does not specify availability, performance, UI, or other qualities."
34,Every user of the system shall be authenticated and authorized.,1,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.92,"This requirement mandates authentication and authorization, which is a security constraint (SE). It also specifies a system behavior (enforcing auth), so it can be treated as functional (F)."
35,The product shall prevent its data from incorrect data being introduced.,0,0,0,0,0,0,0,0,0,0,1,0,gpt-5-mini,0.86,"The requirement focuses on preventing incorrect/malicious data being introduced and protecting data integrity, which is a security concern (input validation/data integrity). It does not specify availability, fault-recovery, functionality details, or usability."
36,The user shall be able to get driving directions to a selected property,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"The requirement describes a specific user capability (getting driving directions), which is a functional behavior. It does not mention availability, performance, security, or other non-functional aspects."
37,The realtor shall be able to retrieve a map showing property locations for a specified area,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.93,"Specifies a functional capability (realtor can retrieve a map of property locations for a specified area). No non-functional aspects (performance, availability, security, usability, etc.) are mentioned."
38,The system shall display clear property images in the search results,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies a system behavior (display property images in search results). Although it concerns image clarity (aesthetic), the example maps this text to Functional only, so labeled as F."
39,The system shall update or create new property listings in the MLS,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"This requirement specifies a system function (create or update property listings in the MLS). It does not mention availability, performance, security, or other quality attributes."
40,Realtor shall be able to generate a CMA report based on property criteria,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"This requirement specifies a functional capability: the Realtor must be able to generate a CMA report based on property criteria. It does not mention availability, performance, security, usability, or other quality attributes."
41,The system shall be able to call the seller or buyer to schedule an appointment,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.91,"This requirement specifies a system capability (making calls to seller or buyer to schedule appointments), which is a functional behavior. It does not mention availability, performance, security, UI, or other non-functional concerns."
42,The realtor shall be notified of new client appointments after automatic synchronization with office system,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.8,"Describes a functional behavior (notification after synchronization). No explicit non-functional constraints (performance, availability, security, etc.) are mentioned."
43,The system shall notify the realtor when a seller or buyer responds to an appointment request,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"This requirement specifies a system behavior (sending notifications to the realtor when a seller or buyer responds to an appointment request), which is a functional requirement. It does not specify availability, performance, security, usability, or other quality attributes."
44,The product shall allow the user to save the property search results.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a functional capability (ability for user to save search results). It does not mention availability, performance, security, UI, or other non-functional concerns."
45,The product shall be able support 1000 simultaneous users.,0,0,0,0,0,0,0,0,0,1,0,0,gpt-5-mini,0.9,Specifies capacity for simultaneous users (ability to scale to 1000 users). This is a scalability requirement rather than functional or performance in terms of latency.
46,The user shall be able to download appointments and contact information for clients,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.83,"This requirement specifies a user-capability (download appointments and client contact information), which is functional behavior. It does not state availability, performance, security, usability, or other quality constraints."
47,The product shall be able to support multiple remote users,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Statement specifies a functional capability (support multiple remote users). It does not quantify concurrency, performance, availability, or other non-functional aspects, so only Functional is set."
48,The product is expected to run on Windows CE and Palm operating systems.,0,0,0,0,0,0,0,0,1,0,0,0,gpt-5-mini,0.9,"Specifies target operating systems/platforms, which is a portability requirement."
49,The product shall retain user preferences in the event of a failure.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.72,"This requirement specifies a functional behavior (persisting/retaining user preferences during failures). It does not explicitly state availability targets, fault-tolerance mechanisms, recovery guarantees, or usability/security considerations, so only Functional is marked."
50,100% of saved user preferences shall be restored when system comes back online.,1,0,1,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies functional behavior (restoring saved user preferences) and implies fault-tolerance/resilience after downtime (restoration upon system coming back online). No explicit availability, performance, security, etc."
51,The look and feel of the system shall conform to the user interface standards of the smart device.,0,0,0,0,1,0,0,0,0,0,0,0,gpt-5-mini,0.9,Specifies visual/UI conformity to device standards (look and feel). No functional behavior or other quality attributes are mentioned.
52,The system shall have a professional appearance,0,0,0,0,1,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement explicitly addresses the visual appearance/branding of the system ('professional appearance'), which is a Look & Feel quality attribute. It does not mention functionality, performance, security, or other NFRs."
53,The product shall have a consistent color scheme and fonts.,0,0,0,0,1,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies visual design elements (color scheme and fonts), which pertains to Look & Feel. No functional behavior or other quality attributes are implied."
54,The system shall be used by realtors with no training.,0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.9,"Specifies that realtors must be able to use the system with no training, which is a usability/learnability requirement. No indication of other quality attributes."
55,The system shall be intuitive and self explanatory.,0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.9,"Requirement concerns ease of use, learnability and user experience (intuitive, self-explanatory), which is a usability quality. No functional behavior or other quality attributes are specified."
56,The product shall be easy for a realtor to learn.,0,0,0,0,0,0,0,0,0,0,0,1,gpt-5-mini,0.92,"Specifies ease of learning for realtors, which is a usability requirement. No functional behavior or other quality attributes are mentioned."
57,The product shall use symbols and words that are naturally understandable by the realtor community.,0,0,0,0,1,0,0,0,0,0,0,1,gpt-5-mini,0.9,"Requirement concerns choice of symbols/words and terminology for realtor community, addressing user interface language and usability/readability. This maps to Look & Feel and Usability; no functional, security, performance, or other quality attributes are implied."
58,The product shall produce search results in an acceptable time,1,0,0,0,0,0,0,1,0,0,0,0,gpt-5-mini,0.9,Specifies a functional capability (produce search results) with a time-related quality constraint indicating performance (acceptable time). No other quality attributes are mentioned.
59,The user interface shall have standard menus buttons for navigation,0,0,0,0,1,0,0,0,0,0,0,0,gpt-5-mini,0.87,"Requirement specifies visual/interaction standard for the UI (standard menus/buttons for navigation), which pertains to look & feel. It does not explicitly state usability metrics or functional behavior, so only LF is set."
60,The product shall generate a CMA report in an acceptable time.,1,0,0,0,0,0,0,1,0,0,0,0,gpt-5-mini,0.9,Specifies generation of a CMA report (functional) and adds a timing constraint 'in an acceptable time' indicating performance requirement.
61,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,1,0,0,0,0,0,0,1,0,0,0,0,gpt-5-mini,0.9,"Specifies the system shall return a CMA report (functional) with a concrete timing constraint of 60 seconds (performance/non-functional - response time). No mention of availability, security, scalability, etc."
62,The product shall synchronize contacts and appointments in an acceptable time.,1,0,0,0,0,0,0,1,0,0,0,0,gpt-5-mini,0.86,Specifies a functional behavior (synchronizing contacts and appointments) with a timing/response quality constraint (acceptable time) indicating a performance non-functional requirement.
63,The product shall synchronize with the office system every hour.,1,0,0,0,0,0,0,1,0,0,0,0,gpt-5-mini,0.9,"Specifies a functional behavior (synchronization) with a timing/quality constraint (every hour) implying performance/timing requirement. No indication of availability, security, scalability, or other NFRs."
64,The product shall be available for use 24 hours per day 365 days per year,0,1,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,Requirement explicitly specifies availability (24/7/365). No other quality attributes or functional behavior are stated.
65,Out of 1000 accesses to the system the system is available 999 times.,0,1,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.95,"Specifies system availability rate (999 out of 1000 accesses available). This is an availability (reliability/uptime) requirement, not functional or other NFRs."
66,The product shall operate in offline mode whenever internet connection is unavailable.,0,0,1,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies the system must continue functioning when internet is unavailable, i.e., graceful degradation/offline resilience — a fault-tolerance requirement. No other quality or functional details are specified."
67,The search results shall be returned no later 30 seconds after the user has entered the search criteria,1,0,0,0,0,0,0,1,0,0,0,0,gpt-5-mini,0.9,"Specifies a functional behavior (search results returned) with a quantitative timing constraint (response time <= 30 seconds), so it is both Functional and Performance-related."
68,The product shall allow the user to view previously downloaded search results CMA reports and appointments.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a functional capability — allowing users to view previously downloaded search results, CMA reports, and appointments. It does not state any non-functional constraints (availability, performance, security, usability, etc.)."
69,The system shall allow a Program Administrator or Nursing staff member to remove a student from a clinical lab section.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a system capability (allow specified roles to remove a student from a clinical lab section), which is a functional behavior. It does not state availability, performance, security, or other non-functional constraints."
70,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.95,"This requirement specifies a system capability (who can perform what action: administrators and nursing staff can add a registered student to a clinical lab section), which is a functional requirement. It does not state any non-functional constraints."
71,A clinical lab section shall include the clinical site name the class instructor day and time of the lab.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.95,"Specifies what data a clinical lab section must include (clinical site name, instructor, day, time) — a functional requirement describing system behavior/data. No quality/constraint aspects implied."
72,Program Administrators and Nursing Staff Members shall be able to add a new clinical lab section for an existing clinical class into the System.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.95,Specifies a user capability/operation (Program Administrators and Nursing Staff shall be able to add a new clinical lab section). This is a functional requirement describing system behavior; no non-functional quality attributes are mentioned.
73,Clinical site information shall include (but not be limited to) the name of the site contact person and contact information.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.95,"Specifies required data content for Clinical site information (what the system should contain) — a functional requirement. No availability, security, performance, or other quality attributes are implied."
74,Program Administrators and Nursing Staff Members shall be able to add a new clinical site into the system.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.87,"This requirement specifies a functional capability (users shall be able to add a clinical site). It does not mention availability, performance, security, usability, or other non-functional aspects."
75,Classes for a given cohort shall not conflict with regards to the time and day that they are offered.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a functional constraint on scheduling behavior (classes must not conflict in time/day for a cohort). It describes system functionality rather than availability, performance, security, or other non-functional qualities."
76,Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,Specifies a capability/action (creating a Program of Study) for specific user roles; this is a functional requirement. No non-functional quality attributes are mentioned.
77,Program Administrators and Nursing Staff Members shall have the ability to specify which classes are required for a Program of Study,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies user actors' ability to perform a specific action (specify required classes) — this is a functional requirement. No quality attributes (availability, performance, security, etc.) are mentioned."
78,A Program of Study shall consist of a program name and listing of required classes (both clinical and non-clinical) that must be completed.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This sentence specifies the structure/behavior of a Program of Study (its required fields: program name and list of required classes), which is a functional/data requirement. It does not state availability, performance, security, usability, or other quality attributes."
79,A clinical class shall specify the course name lecture room requirements clinical site needs lecture instructor needs and clinical lab instructor needs.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"This is a functional requirement specifying what information a clinical class must include (course name, lecture room requirements, clinical site needs, instructor needs). It does not state availability, performance, security, or other non-functional concerns."
80,A non-clinical class shall specify the course name lecture room requirements and instructor needs.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies what the system/entity must include (course name, lecture room requirements, instructor needs) — a functional requirement describing data/behavior. No quality attributes like availability, security, performance, etc., are implied."
81,A class shall be either a non-clinical class or a clinical class.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.85,"This is a functional constraint specifying that each class must be one of two types (non-clinical or clinical). It defines required system behavior/validation rather than an NFR such as performance, security, or usability."
82,Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Describes a user capability (administrators and staff can add new classes) — a functional requirement. No quality/constraint (availability, security, performance, etc.) is specified."
83,The system shall allow a Program Administrator/Nursing Staff Member to move a student from one clinical lab section to another clinical lab section corresponding to the same clinical class.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.91,"This requirement specifies a user-action capability (moving a student between sections), which is functional behavior. It does not mention availability, performance, security, or other quality attributes."
84,Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system identified by start month and year.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.88,"Specifies a user-facing capability (adding a cohort with start month and year), which is a functional requirement. No non-functional quality attributes are mentioned."
85,The system shall be able to display a report of needed classes for a given quarter for all cohorts of all programs for Program Administrators/Nursing Staff Members92 planning purposes.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a functional capability: displaying a report for program administrators/nursing staff. It does not mention availability, performance, security, usability, or other non-functional qualities."
86,Program Administrators/Nursing Staff Members shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,Specifies a system capability (who can cancel a lab section and the condition under which cancellation is allowed). This is a functional requirement; no non-functional qualities are implied.
87,The system will notify affected parties for routine communication purposes including but not limited to informing students of upcoming offered classes (timeline) and what their schedule will be/shall be.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,Requirement specifies a notification function (informing students of upcoming classes and schedules). This is a functional behavior and does not explicitly address any non-functional qualities.
88,A staff member shall have the ability to manage the progress of a part time student which includes modifying their sequence of classes and timeline of classes.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement describes a system capability (staff managing part-time student progress, modifying class sequences and timelines), which is functional. It does not mention availability, performance, security, usability, or other non-functional concerns."
89,Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Describes a functional capability (users shall be able to add classes/sections). No non-functional qualities (availability, security, performance, etc.) are specified."
90,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student including student ID student name phone number e-mail status (full time or part time) and program of study.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"Specifies an action the system must provide (modify student information) — a functional requirement. No availability, performance, security, or other non-functional constraints are mentioned."
91,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section including the clinical site name the department/section for the lab the class instructor day and time of lab and contact information.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.86,"This requirement specifies a functional capability: administrators/staff can modify clinical lab section information. It does not mention availability, performance, security, usability, or other non-functional aspects."
92,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site including the clinical site name site contact person contact information and address.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies that certain users shall have the ability to modify clinical site information — this describes a system function (who can do what). No non-functional constraints (availability, security, performance, etc.) are stated."
93,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department including the Program of study name and required classes for that Program of Study.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies actions users (Program Administrators/Nursing Staff) must be able to perform (modify program name and required classes). This describes functional behavior; it does not specify availability, performance, security, or other non-functional concerns."
94,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts including cohort identifier program of study preferred sequence of classes and quarters that a cohort will be taking specific classes.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"This requirement specifies functional behavior (users shall be able to modify cohort information). It does not mention availability, security, performance, usability, or other non-functional concerns."
95,The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student92s status from full time to part time and moving a student to a different clinical section.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.77,"The requirement specifies a system behavior (notify affected parties when student-related changes occur), which is a functional requirement. It does not mention availability, performance, security, usability, or other non-functional aspects."
96,The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort92s program of study and changes to a given week92s schedule (lab cancelled this week due to instructor illness).,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.96,"Requirement specifies a system behavior (notify affected parties when cohort-related changes occur). This is a functional requirement; it does not explicitly address availability, performance, security, or other non-functional aspects."
97,The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"Specifies a system action (notify affected parties of class-related changes). No availability, performance, security, usability, or other non-functional constraints are mentioned."
98,The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.87,"Requirement specifies a functional behavior: notifying affected parties when clinical-related changes occur. It does not state availability, security, performance, or other non-functional concerns."
99,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"This requirement specifies a system behavior (using stored e-mail addresses to communicate to affected parties), which is a functional requirement. It does not state availability, security, performance, UI, or other quality attributes."
100,The system shall contain contact information (e-mail and phone number) for all people relevant to the system including (but not limited to) staff members students lecture instructors clinical lab instructors and clinical site administrators.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a functional capability: the system shall store/display contact information for relevant people. It does not specify availability, performance, security, usability, or other non-functional concerns."
101,The system shall be able to display a printable summary of the system log.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a system capability (display a printable summary of the system log), which is a functional requirement. It does not mention availability, performance, security, usability, or other non-functional aspects."
102,The system shall be able to display a printable summary for individual nursing students which will include (but not be limited to) student name student ID admission date classes credits GPA and the cohort that the student is enrolled in.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.92,"The statement specifies a system capability to display a printable summary with specific data fields for individual students — a clear functional requirement. It does not mention availability, performance, security, usability, or other non-functional qualities."
103,The system shall be able to display a printable summary for individual clinical labs which will include (but not be limited to) class name class number lab section listing of students enrolled instructor day(s) time and location.,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.9,"This requirement specifies a functional capability: displaying a printable summary of individual clinical labs with specific content (class name, number, section, students, instructor, schedule, location). It does not state non-functional constraints (availability, performance, security, etc.)."
104,The system shall be able to display a printable summary for individual clinical sites which will include information on labs being held at that site for the given quarter (Clinical site general information on labs held at that location dates and times of all labs held there).,1,0,0,0,0,0,0,0,0,0,0,0,gpt-5-mini,0.88,"Requirement specifies a functional capability: displaying a printable summary with site and lab information. It does not mention availability, performance, security, usability, or other non-functional concerns."
