F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,confidence,rationale,row_id,model,error
False,False,False,False,False,False,False,False,False,False,True,False,0.95,"This requirement constrains who may access the system (access control/authorization), which is a security requirement (authentication/authorization). It does not specify availability, performance, UI, or other qualities.",32,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,True,False,0.92,"This requirement mandates authentication and authorization, which is a security constraint (SE). It also specifies a system behavior (enforcing auth), so it can be treated as functional (F).",33,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,True,False,0.86,"The requirement focuses on preventing incorrect/malicious data being introduced and protecting data integrity, which is a security concern (input validation/data integrity). It does not specify availability, fault-recovery, functionality details, or usability.",34,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.86,"The requirement describes a specific user capability (getting driving directions), which is a functional behavior. It does not mention availability, performance, security, or other non-functional aspects.",35,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.93,"Specifies a functional capability (realtor can retrieve a map of property locations for a specified area). No non-functional aspects (performance, availability, security, usability, etc.) are mentioned.",36,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Specifies a system behavior (display property images in search results). Although it concerns image clarity (aesthetic), the example maps this text to Functional only, so labeled as F.",37,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.92,"This requirement specifies a system function (create or update property listings in the MLS). It does not mention availability, performance, security, or other quality attributes.",38,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.92,"This requirement specifies a functional capability: the Realtor must be able to generate a CMA report based on property criteria. It does not mention availability, performance, security, usability, or other quality attributes.",39,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.91,"This requirement specifies a system capability (making calls to seller or buyer to schedule appointments), which is a functional behavior. It does not mention availability, performance, security, UI, or other non-functional concerns.",40,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.8,"Describes a functional behavior (notification after synchronization). No explicit non-functional constraints (performance, availability, security, etc.) are mentioned.",41,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.86,"This requirement specifies a system behavior (sending notifications to the realtor when a seller or buyer responds to an appointment request), which is a functional requirement. It does not specify availability, performance, security, usability, or other quality attributes.",42,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a functional capability (ability for user to save search results). It does not mention availability, performance, security, UI, or other non-functional concerns.",43,gpt-5-mini,
False,False,False,False,False,False,False,False,False,True,False,False,0.9,Specifies capacity for simultaneous users (ability to scale to 1000 users). This is a scalability requirement rather than functional or performance in terms of latency.,44,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.83,"This requirement specifies a user-capability (download appointments and client contact information), which is functional behavior. It does not state availability, performance, security, usability, or other quality constraints.",45,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Statement specifies a functional capability (support multiple remote users). It does not quantify concurrency, performance, availability, or other non-functional aspects, so only Functional is set.",46,gpt-5-mini,
False,False,False,False,False,False,False,False,True,False,False,False,0.9,"Specifies target operating systems/platforms, which is a portability requirement.",47,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.72,"This requirement specifies a functional behavior (persisting/retaining user preferences during failures). It does not explicitly state availability targets, fault-tolerance mechanisms, recovery guarantees, or usability/security considerations, so only Functional is marked.",48,gpt-5-mini,
True,False,True,False,False,False,False,False,False,False,False,False,0.9,"Specifies functional behavior (restoring saved user preferences) and implies fault-tolerance/resilience after downtime (restoration upon system coming back online). No explicit availability, performance, security, etc.",49,gpt-5-mini,
False,False,False,False,True,False,False,False,False,False,False,False,0.9,Specifies visual/UI conformity to device standards (look and feel). No functional behavior or other quality attributes are mentioned.,50,gpt-5-mini,
False,False,False,False,True,False,False,False,False,False,False,False,0.9,"This requirement explicitly addresses the visual appearance/branding of the system ('professional appearance'), which is a Look & Feel quality attribute. It does not mention functionality, performance, security, or other NFRs.",51,gpt-5-mini,
False,False,False,False,True,False,False,False,False,False,False,False,0.9,"Specifies visual design elements (color scheme and fonts), which pertains to Look & Feel. No functional behavior or other quality attributes are implied.",52,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,False,True,0.9,"Specifies that realtors must be able to use the system with no training, which is a usability/learnability requirement. No indication of other quality attributes.",53,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,False,True,0.9,"Requirement concerns ease of use, learnability and user experience (intuitive, self-explanatory), which is a usability quality. No functional behavior or other quality attributes are specified.",54,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,False,True,0.92,"Specifies ease of learning for realtors, which is a usability requirement. No functional behavior or other quality attributes are mentioned.",55,gpt-5-mini,
False,False,False,False,True,False,False,False,False,False,False,True,0.9,"Requirement concerns choice of symbols/words and terminology for realtor community, addressing user interface language and usability/readability. This maps to Look & Feel and Usability; no functional, security, performance, or other quality attributes are implied.",56,gpt-5-mini,
True,False,False,False,False,False,False,True,False,False,False,False,0.9,Specifies a functional capability (produce search results) with a time-related quality constraint indicating performance (acceptable time). No other quality attributes are mentioned.,57,gpt-5-mini,
False,False,False,False,True,False,False,False,False,False,False,False,0.87,"Requirement specifies visual/interaction standard for the UI (standard menus/buttons for navigation), which pertains to look & feel. It does not explicitly state usability metrics or functional behavior, so only LF is set.",58,gpt-5-mini,
True,False,False,False,False,False,False,True,False,False,False,False,0.9,Specifies generation of a CMA report (functional) and adds a timing constraint 'in an acceptable time' indicating performance requirement.,59,gpt-5-mini,
True,False,False,False,False,False,False,True,False,False,False,False,0.9,"Specifies the system shall return a CMA report (functional) with a concrete timing constraint of 60 seconds (performance/non-functional - response time). No mention of availability, security, scalability, etc.",60,gpt-5-mini,
True,False,False,False,False,False,False,True,False,False,False,False,0.86,Specifies a functional behavior (synchronizing contacts and appointments) with a timing/response quality constraint (acceptable time) indicating a performance non-functional requirement.,61,gpt-5-mini,
True,False,False,False,False,False,False,True,False,False,False,False,0.9,"Specifies a functional behavior (synchronization) with a timing/quality constraint (every hour) implying performance/timing requirement. No indication of availability, security, scalability, or other NFRs.",62,gpt-5-mini,
False,True,False,False,False,False,False,False,False,False,False,False,0.9,Requirement explicitly specifies availability (24/7/365). No other quality attributes or functional behavior are stated.,63,gpt-5-mini,
False,True,False,False,False,False,False,False,False,False,False,False,0.95,"Specifies system availability rate (999 out of 1000 accesses available). This is an availability (reliability/uptime) requirement, not functional or other NFRs.",64,gpt-5-mini,
False,False,True,False,False,False,False,False,False,False,False,False,0.9,"Specifies the system must continue functioning when internet is unavailable, i.e., graceful degradation/offline resilience — a fault-tolerance requirement. No other quality or functional details are specified.",65,gpt-5-mini,
True,False,False,False,False,False,False,True,False,False,False,False,0.9,"Specifies a functional behavior (search results returned) with a quantitative timing constraint (response time <= 30 seconds), so it is both Functional and Performance-related.",66,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a functional capability — allowing users to view previously downloaded search results, CMA reports, and appointments. It does not state any non-functional constraints (availability, performance, security, usability, etc.).",67,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a system capability (allow specified roles to remove a student from a clinical lab section), which is a functional behavior. It does not state availability, performance, security, or other non-functional constraints.",68,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.95,"This requirement specifies a system capability (who can perform what action: administrators and nursing staff can add a registered student to a clinical lab section), which is a functional requirement. It does not state any non-functional constraints.",69,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.95,"Specifies what data a clinical lab section must include (clinical site name, instructor, day, time) — a functional requirement describing system behavior/data. No quality/constraint aspects implied.",70,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.95,Specifies a user capability/operation (Program Administrators and Nursing Staff shall be able to add a new clinical lab section). This is a functional requirement describing system behavior; no non-functional quality attributes are mentioned.,71,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.95,"Specifies required data content for Clinical site information (what the system should contain) — a functional requirement. No availability, security, performance, or other quality attributes are implied.",72,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.87,"This requirement specifies a functional capability (users shall be able to add a clinical site). It does not mention availability, performance, security, usability, or other non-functional aspects.",73,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a functional constraint on scheduling behavior (classes must not conflict in time/day for a cohort). It describes system functionality rather than availability, performance, security, or other non-functional qualities.",74,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.92,Specifies a capability/action (creating a Program of Study) for specific user roles; this is a functional requirement. No non-functional quality attributes are mentioned.,75,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Specifies user actors' ability to perform a specific action (specify required classes) — this is a functional requirement. No quality attributes (availability, performance, security, etc.) are mentioned.",76,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This sentence specifies the structure/behavior of a Program of Study (its required fields: program name and list of required classes), which is a functional/data requirement. It does not state availability, performance, security, usability, or other quality attributes.",77,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.86,"This is a functional requirement specifying what information a clinical class must include (course name, lecture room requirements, clinical site needs, instructor needs). It does not state availability, performance, security, or other non-functional concerns.",78,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Specifies what the system/entity must include (course name, lecture room requirements, instructor needs) — a functional requirement describing data/behavior. No quality attributes like availability, security, performance, etc., are implied.",79,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.85,"This is a functional constraint specifying that each class must be one of two types (non-clinical or clinical). It defines required system behavior/validation rather than an NFR such as performance, security, or usability.",80,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Describes a user capability (administrators and staff can add new classes) — a functional requirement. No quality/constraint (availability, security, performance, etc.) is specified.",81,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.91,"This requirement specifies a user-action capability (moving a student between sections), which is functional behavior. It does not mention availability, performance, security, or other quality attributes.",82,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.88,"Specifies a user-facing capability (adding a cohort with start month and year), which is a functional requirement. No non-functional quality attributes are mentioned.",83,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a functional capability: displaying a report for program administrators/nursing staff. It does not mention availability, performance, security, usability, or other non-functional qualities.",84,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.86,Specifies a system capability (who can cancel a lab section and the condition under which cancellation is allowed). This is a functional requirement; no non-functional qualities are implied.,85,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.92,Requirement specifies a notification function (informing students of upcoming classes and schedules). This is a functional behavior and does not explicitly address any non-functional qualities.,86,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement describes a system capability (staff managing part-time student progress, modifying class sequences and timelines), which is functional. It does not mention availability, performance, security, usability, or other non-functional concerns.",87,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Describes a functional capability (users shall be able to add classes/sections). No non-functional qualities (availability, security, performance, etc.) are specified.",88,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.86,"Specifies an action the system must provide (modify student information) — a functional requirement. No availability, performance, security, or other non-functional constraints are mentioned.",89,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.86,"This requirement specifies a functional capability: administrators/staff can modify clinical lab section information. It does not mention availability, performance, security, usability, or other non-functional aspects.",90,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Specifies that certain users shall have the ability to modify clinical site information — this describes a system function (who can do what). No non-functional constraints (availability, security, performance, etc.) are stated.",91,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Specifies actions users (Program Administrators/Nursing Staff) must be able to perform (modify program name and required classes). This describes functional behavior; it does not specify availability, performance, security, or other non-functional concerns.",92,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.92,"This requirement specifies functional behavior (users shall be able to modify cohort information). It does not mention availability, security, performance, usability, or other non-functional concerns.",93,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.77,"The requirement specifies a system behavior (notify affected parties when student-related changes occur), which is a functional requirement. It does not mention availability, performance, security, usability, or other non-functional aspects.",94,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.96,"Requirement specifies a system behavior (notify affected parties when cohort-related changes occur). This is a functional requirement; it does not explicitly address availability, performance, security, or other non-functional aspects.",95,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Specifies a system action (notify affected parties of class-related changes). No availability, performance, security, usability, or other non-functional constraints are mentioned.",96,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.87,"Requirement specifies a functional behavior: notifying affected parties when clinical-related changes occur. It does not state availability, security, performance, or other non-functional concerns.",97,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.92,"This requirement specifies a system behavior (using stored e-mail addresses to communicate to affected parties), which is a functional requirement. It does not state availability, security, performance, UI, or other quality attributes.",98,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a functional capability: the system shall store/display contact information for relevant people. It does not specify availability, performance, security, usability, or other non-functional concerns.",99,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a system capability (display a printable summary of the system log), which is a functional requirement. It does not mention availability, performance, security, usability, or other non-functional aspects.",100,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.92,"The statement specifies a system capability to display a printable summary with specific data fields for individual students — a clear functional requirement. It does not mention availability, performance, security, usability, or other non-functional qualities.",101,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a functional capability: displaying a printable summary of individual clinical labs with specific content (class name, number, section, students, instructor, schedule, location). It does not state non-functional constraints (availability, performance, security, etc.).",102,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.88,"Requirement specifies a functional capability: displaying a printable summary with site and lab information. It does not mention availability, performance, security, usability, or other non-functional concerns.",103,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.88,"The requirement specifies a system capability to display a printable summary of cohorts and their details — a functional behavior. It does not mention availability, performance, security, usability, or other quality attributes.",104,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This is a functional requirement specifying an action the user roles must be able to perform (adding a new nursing student). No non-functional aspects (availability, performance, security, etc.) are mentioned.",105,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This requirement specifies a functional capability (users shall be able to add new classes). It does not mention availability, performance, security, UI, or other non-functional aspects.",106,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"Specifies content of a report (what the system should include) — a functional requirement. No availability, performance, security, or other quality attributes are implied.",107,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.86,"This requirement describes a capability the system must provide (users can specify preferred sequence of classes), which is functional in nature; it does not specify non-functional qualities like performance, security, or usability.",108,gpt-5-mini,
False,False,False,False,False,False,True,False,False,False,False,False,0.86,"Specifies operational context/environment (business office environment for Nursing Department), which pertains to operability/administration rather than functionality or other NFRs.",109,gpt-5-mini,
True,False,False,False,False,False,False,False,False,True,False,False,0.9,"This requirement specifies a functional capability (manage curriculum and scheduling) and a durability/scale timeframe (operate/manage for at least 5 years), implying scalability/lifespan concerns. It does not mention availability, security, usability, maintainability, portability, performance, legal, fault tolerance, or look-and-feel explicitly.",110,gpt-5-mini,
False,False,False,False,False,False,False,False,False,True,False,False,0.9,"This requirement specifies capacity over time (ability to process all students and classes for the next 10 years), which is a scalability requirement. It does not explicitly state performance metrics (latency/throughput), availability, security, or functional behavior beyond capacity.",111,gpt-5-mini,
False,True,False,False,False,False,False,False,False,True,False,False,0.9,Specifies the number of simultaneous users during a time window — relates to system availability (operational hours/uptime for users) and scalability/capacity to support concurrent users.,112,gpt-5-mini,
False,True,False,False,False,False,False,False,False,True,False,False,0.9,Requirement specifies availability during business hours and ability to handle all user requests (scalability/capacity). No mention of other qualities.,113,gpt-5-mini,
False,True,False,False,False,False,False,False,False,False,False,False,0.95,Specifies a target uptime percentage (availability requirement).,114,gpt-5-mini,
False,True,False,False,False,False,False,False,False,False,False,False,0.9,"Specifies system availability hours (uptime window), which is an availability requirement.",115,gpt-5-mini,
False,False,False,False,False,False,False,True,False,False,False,False,0.9,"Specifies maximum allowable response times for tasks (5s and 30s), which are performance-related constraints (latency). No functional behavior, security, availability, scalability, or other quality attributes are mentioned.",116,gpt-5-mini,
False,False,False,False,False,False,False,True,False,False,False,False,0.9,Specifies timely completion of tasks (performance/response time requirement) rather than a functional action or other quality attribute.,117,gpt-5-mini,
False,False,False,False,True,False,False,False,False,False,False,True,0.9,"Specifies terminology and wording/voice for UI/content (look-and-feel) and impacts usability/readability for users (nursing community); no functional, security, or other quality requirements.",118,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.86,"The requirement describes a capability (ability for administrators and staff to specify the quarter a class is offered), which is a functional behavior. It does not specify availability, performance, security, or other non-functional properties.",119,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,True,0.85,"Specifies that Program Administrators/Nursing Staff must be able to manage scheduling (functional) with a usability success criterion (2 of 3 users able to use the system), implying usability requirement rather than performance, security, etc.",120,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,False,True,0.93,"Requirement specifies that the system should be intuitive for specific user roles, which directly pertains to usability (ease of use, learnability). It does not state functional behavior or other quality attributes.",121,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,False,True,0.9,"The requirement targets reducing the number of mistakes noted by students (a reduction in user errors), which relates to usability (ease of use and error reduction). It does not specify functional behavior, performance, security, or other NFR categories.",122,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,False,True,0.9,"The statement concerns preventing user errors during scheduling, which targets ease of use/error prevention and user experience (usability). It does not specify functional behavior, performance, security, or other quality attributes.",123,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,False,True,0.92,"This requirement specifies ease of use/learnability—users can use the system after one day of training, which is a usability (learnability) criterion. It does not specify functional behavior or other non-functional categories.",124,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,False,True,0.85,"Requirement explicitly states ease of use for administrators/nursing staff, which is a usability concern. It does not mention functionality, performance, security, or other quality attributes.",125,gpt-5-mini,
False,False,False,False,False,False,True,False,False,False,False,False,0.86,"Requirement constrains the system to operate within the specifications of administrators' computers, which pertains to operability/operational environment. It does not specify functional behavior or other quality attributes explicitly.",126,gpt-5-mini,
False,False,False,False,False,False,True,False,False,False,False,False,0.9,"Specifies required operating environment (must run under Windows XP Professional), which concerns operational/deployment constraints and manageability. This maps to Operability rather than a functional behavior or other quality attributes.",127,gpt-5-mini,
False,False,False,False,True,False,False,False,False,False,False,True,0.95,"Requirement concerns use of understandable symbols/words — pertains to look & feel and usability (readability, clarity for users). No availability, security, performance, or functional behavior implied.",128,gpt-5-mini,
False,False,False,False,False,False,True,False,False,False,False,False,0.9,"This requirement specifies an interface/integration with another system (faculty central server), which pertains to system operability/administration (interfaces). It does not mention functional behavior details, performance, availability, security, or other NFRs.",129,gpt-5-mini,
False,False,False,False,False,False,True,False,False,False,False,False,0.9,"Requirement specifies an interface/integration with a central server, which concerns system operability/administration (external system interaction). No availability, performance, security, or functional behavior details are given.",130,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.95,"This requirement specifies a functional rule/behavior: students added to a cohort must be eligible for that cohort's Program of Study. It does not mention availability, performance, security, or other NFRs.",131,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This specifies a functional capability (who can perform the action and what action: add a single student to a cohort). It does not mention availability, performance, security, or other non-functional aspects.",132,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.9,"This is a functional requirement specifying actors and an action (adding student listings to a cohort). It does not mention availability, security, performance, or other non-functional aspects.",133,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,True,False,0.9,"Specifies use of antivirus software to monitor threats, which is a security control (confidentiality/integrity/threat protection). No other quality attributes are mentioned.",134,gpt-5-mini,
False,False,False,False,False,False,False,False,False,False,True,False,0.95,"The requirement explicitly concerns protecting the system from malicious interference, which is a security constraint. It does not specify functionality or other quality attributes.",135,gpt-5-mini,
True,False,False,True,False,False,False,False,False,False,True,False,0.95,"Requirement mandates protecting private information (a functional behavior) specifically in accordance with the organization's information policy (legal/compliance). It also implies security controls to protect confidentiality, integrity (security). No mention of availability, performance, scalability, etc.",136,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,True,False,0.9,"Requirement specifies enforcing data integrity (prevent invalid/incorrect data), which is a functional behavior and a security-related constraint (data integrity). No mention of maintenance, performance, availability, etc.",137,gpt-5-mini,
True,False,False,False,False,False,False,False,False,False,False,False,0.96,"Specifies a functional requirement describing a relationship/constraint between domain entities (cohort and Program of Study). No quality, performance, security, or other NFR aspects are mentioned.",138,gpt-5-mini,
